,Address,Area,Baths,Beds,Price
2240,"1609 22nd St Nw, Washington, DC 20008","5,500 sqft",4,8,$4.44m
2241,"3251 Prospect St Nw Apt 402, Washington, DC 20007","3,550 sqft",4.5,5,$2.75m
2242,"116 Quincy Pl Ne, Washington, DC 20002","1,546 sqft",1,3,$700k
2243,"50 53rd St Se, Washington, DC 20019","1,168 sqft",2,5,$315k
2244,"311 56th St Ne, Washington, DC 20019",535 sqft,1,2,$135k
2245,"1525 Channing St Ne, Washington, DC 20018","1,600 sqft",1.5,3,$250k
2246,"748 Burns St Se, Washington, DC 20019",832 sqft,2,2,$140k
2247,"350 G St Sw Apt N104, Washington, DC 20024",892 sqft,1,1,$479k
2248,"Eastern Ave Ne, Washington, DC 20019",0.09 acres,N/A,N/A,$150k
2249,"Foote St Ne, Washington, DC 20019",0.02 acres,N/A,N/A,$25k
